genre,artist_name,track_name,Rank_x,emotion_score_x,emotion_bucket,Rank,Game Title,Year,Genre,emotion_score_y
Country,Zac Brown Band,Day for the Dead,0.6170212765957447,0.43,43,0.6636935991605457,Sim Theme Park,1998.0,Strategy,0.43
Indie,Ages and Ages,Day from Night,0.5106382978723404,0.58,57,0.5120671563483735,Stuntman,2002.0,Racing,0.58
Blues,Jorma Kaukonen,Day to Day Out the Window Blues - Late Show - Live,1.0,0.58,57,0.9989506820566632,Mario Kart Wii,2008.0,Racing,0.58
Anime,KOKIA,Daybreak,0.7978723404255319,0.64,64,0.7985309548793285,SOCOM II: U.S. Navy SEALs,2003.0,Shooter,0.63
Soundtrack,Hauschka,Daybreak over Covent Garden,0.6170212765957447,0.71,71,0.6164742917103883,FIFA 2000,1998.0,Sports,0.7
Blues,Robin Trower,Daydream,0.6702127659574468,0.7,70,0.6705141657922351,PES 2009: Pro Evolution Soccer,2008.0,Sports,0.7
Indie,Saint Motel,Daydream / Wetdream / Nightmare,0.4893617021276595,0.57,56,0.4879328436516265,Gran Turismo 4 Prologue,2003.0,Racing,0.58
Folk,The Monkees,Daydream Believer,0.2765957446808511,0.44,44,0.24501573976915,Yu-Gi-Oh! Duel Monsters II: Dark Duel Stories,1999.0,Strategy,0.43
Soul,Adele,Daydreamer,0.351063829787234,0.71,71,0.35099685204617,Jillian Michaels' Fitness Ultimatum 2009,2008.0,Sports,0.7
Electronic,Flux Pavilion,Daydreamer (feat. Example) - Dillon Francis Remix,0.7234042553191489,0.44,44,0.7182581322140609,Theme Hospital,1997.0,Strategy,0.43
Pop,Maroon 5,Daylight,0.3829787234042553,0.5,50,0.3835257082896117,Petz Wild Animals: Dolphinz,2007.0,Simulation,0.5
Comedy,Paul F. Tompkins,Daylight Savings Time,0.8191489361702128,0.51,51,0.8200419727177335,Animal Crossing,2001.0,Simulation,0.5
Indie,The Red Pears,Daylight/Moonlight,0.5106382978723404,0.62,62,0.5110178384050368,Tom Clancy's Rainbow Six 3,2003.0,Shooter,0.63
Electronic,Weval,Days,0.5851063829787234,0.51,51,0.5844700944386149,The Urbz: Sims in the City,2004.0,Simulation,0.5
Anime,FLOW,Days - Golden Coast Version,0.8723404255319148,0.26,26,0.8730325288562435,Donkey Kong Land,1994.0,Platform,0.27
Electronic,Kasabian,Days Are Forgotten,0.6808510638297872,0.44,44,0.6694648478488983,Warcraft: Orcs & Humans,1994.0,Strategy,0.43
Electronic,Dirty Vegas,Days Go By,0.4893617021276595,0.43,43,0.5026232948583421,Warcraft III: Reign of Chaos,2002.0,Strategy,0.43
Electronic,Dirty Vegas,Days Go By - Acoustic,0.6063829787234042,0.7,70,0.6075550891920252,NCAA Football 06,2005.0,Sports,0.7
World,Hillsong Young & Free,Days Gone By - Live,0.5638297872340425,0.62,62,0.5634837355718783,Crackdown,2007.0,Shooter,0.63
Movie,Alan Menken,Days In The Sun - Demo,0.5531914893617021,0.76,76,0.559286463798531,Demon's Souls,2009.0,Role-Playing,0.77
Blues,Danny Bryant's Redeyeband,Days Like This,0.6382978723404256,0.27,27,0.6448058761804827,Sonic Unleashed,2008.0,Platform,0.27
Alternative,GoldLink,Days Like This (feat. Khalid),0.2872340425531914,0.49,49,0.2864637985309549,The Sims 3,2010.0,Simulation,0.5
Classical,Howard Shore,"Days Of The Ring - feat. Annie Lennox Performing ""Into The West""",0.5319148936170213,0.86,86,0.5288562434417629,Silent Hill,1999.0,Adventure,0.85
Blues,The Kills,Days Of Why And How,0.6382978723404256,0.62,62,0.6390346274921301,Star Wars: Dark Forces,1994.0,Shooter,0.63
Jazz,Oscar Peterson Trio,Days Of Wine And Roses,0.6276595744680851,0.62,62,0.627492130115425,Red Faction,2001.0,Shooter,0.63
Jazz,Henry Mancini,Days Of Wine And Roses - REMASTERED,0.6276595744680851,0.78,78,0.633788037775446,X-Men Legends,2004.0,Role-Playing,0.77
Electronic,Bonobo,Days To Come,0.4787234042553191,0.56,56,0.4868835257082896,Tokyo Xtreme Racer Zero,2000.0,Racing,0.58
Electronic,Bonobo,Days To Come - Instrumental,0.6276595744680851,0.63,63,0.627492130115425,Red Faction,2001.0,Shooter,0.63
Movie,Judy Kuhn,Days and Days Introduction,0.9680851063829788,0.62,62,0.9674711437565584,Halo 2,2004.0,Shooter,0.63
Anime,Kevin Penkin,Days in the Sun,0.7234042553191489,0.76,76,0.7287513116474292,Dragon Age: Origins,2009.0,Role-Playing,0.77
Folk,Beach House,Days of Candy,0.5319148936170213,0.64,64,0.5335781741867787,Star Wars Battlefront: Renegade Squadron,2007.0,Shooter,0.63
Jazz,Andy Williams,Days of Wine and Roses,0.5638297872340425,0.79,79,0.5640083945435467,WCW vs. nWo: World Tour,1997.0,Fighting,0.8
Jazz,Green Assassin Dollar,Days.,0.4468085106382978,0.44,44,0.4286463798530955,Pocket Monsters Stadium,1998.0,Strategy,0.43
Comedy,Jay Mohr,Daytime TV Is The Real America,0.8829787234042553,0.62,62,0.8845750262329486,Half-Life,1997.0,Shooter,0.63
Movie,Randy Newman,"Dayton, Ohio - 1903",0.8191489361702128,0.84,84,0.8210912906610703,The Legend of Zelda: Spirit Tracks,2009.0,Adventure,0.85
Movie,Randy Newman,"Dayton, Ohio - 1903 - Early Version",0.8191489361702128,0.79,79,0.8153200419727178,Dragon Ball Z: Budokai,2002.0,Fighting,0.8
Movie,Randy Newman,"Dayton, Ohio - 1903 - Remastered",0.7446808510638298,0.78,78,0.7471143756558237,Monster Hunter Freedom 2,2007.0,Role-Playing,0.77
World,Boards of Canada,Dayvan Cowboy (Odd Nosdam Remix),0.7021276595744681,0.84,84,0.7035676810073452,Onimusha 2: Samurai's Destiny,2002.0,Adventure,0.85
Anime,Jin,Daze(Re Ver.),0.5425531914893617,0.26,26,0.5435466946484785,Kirby & the Amazing Mirror,2004.0,Platform,0.27
Dance,Ruel,Dazed & Confused,0.1914893617021276,0.51,51,0.1909758656873032,Imagine: Animal Doctor,2007.0,Simulation,0.5
Rock,Led Zeppelin,Dazed and Confused,0.3297872340425531,0.57,56,0.3300104931794334,Cars,2006.0,Racing,0.58
Rock,Led Zeppelin,Dazed and Confused - 2007 Remaster,0.4468085106382978,0.57,56,0.4464847848898216,Twisted Metal: Black,2001.0,Racing,0.58
Indie,Oh Wonder,Dazzle,0.4042553191489361,0.5,50,0.4024134312696747,Hello Kitty Party,2007.0,Misc,0.5
Jazz,Victor Wooten,Dc10,0.6063829787234042,0.29,28,0.6028331584470095,Sonic & Knuckles,1994.0,Platform,0.27
Reggaeton,"Secreto ""El Famoso Biberon""",De Amor Nadie Se Muere,0.4893617021276595,0.27,27,0.4889821615949632,The Simpsons Game,2007.0,Platform,0.27
Jazz,Buena Vista Social Club,De Camino a La Vereda,0.3723404255319149,0.43,43,0.406610703043022,Command & Conquer: Red Alert 2,2000.0,Strategy,0.43
World,Lhasa De Sela,De Cara a la Pared,0.5106382978723404,0.57,56,0.5120671563483735,Stuntman,2002.0,Racing,0.58
Comedy,Polo Polo,De Donde Vienes,0.7127659574468085,0.57,56,0.7114375655823715,Need For Speed: High Stakes,1999.0,Racing,0.58
Reggaeton,Dayme y El High,De Fiesta (Remix) [feat. Yandar & Yostin & Kevin Roldan],0.6914893617021276,0.42,42,0.7088142707240294,Halo Wars,2009.0,Strategy,0.43
Reggaeton,Baby Ranks,De Fuga,0.8404255319148936,0.44,44,0.8604407135362014,Pokémon Trading Card Game,1998.0,Strategy,0.43
Comedy,Polo Polo,De Gira En España - En Vivo,0.6808510638297872,0.49,49,0.6836306400839455,Dance Dance Revolution Extreme,2004.0,Simulation,0.5
Jazz,Bodikhuu,De Janeiro,0.6276595744680851,0.42,42,0.6636935991605457,Sim Theme Park,1998.0,Strategy,0.43
Reggaeton,Justin Quiles,De La Nada,0.5106382978723404,0.42,42,0.5073452256033578,Command & Conquer: Tiberian Sun,1999.0,Strategy,0.43
