,Rank,Game Title,Year,Genre,energy,tempo,valence
268,0.8551941238195173,Pro Evolution Soccer 2008,2007.0,Sports,0.9,0.8,0.4
269,0.8546694648478489,LEGO Indiana Jones: The Original Adventures,2008.0,Adventure,0.85,0.9,0.8
270,0.8541448058761805,Resident Evil 4,2005.0,Action,1.0,1.0,0.75
271,0.853620146904512,MySims,2007.0,Simulation,0.6,0.5,0.4
272,0.8530954879328436,Star Wars Battlefront,2004.0,Shooter,0.6,0.4,0.9
273,0.8525708289611753,Doom II,1994.0,Shooter,0.6,0.4,0.9
274,0.8520461699895069,The Simpsons: Road Rage,2001.0,Racing,0.75,0.6,0.4
275,0.8515215110178385,Luigi's Mansion,2001.0,Action,1.0,1.0,0.75
276,0.85099685204617,Left 4 Dead 2,2009.0,Shooter,0.6,0.4,0.9
277,0.8504721930745016,Star Wars Battlefront II,2005.0,Shooter,0.6,0.4,0.9
278,0.8499475341028332,WWF SmackDown!,2000.0,Fighting,0.8,0.8,0.8
279,0.8494228751311648,Midnight Club 3: DUB Edition,2005.0,Racing,0.75,0.6,0.4
280,0.8488982161594963,Guitar Hero: World Tour,2008.0,Misc,0.5,0.5,0.5
281,0.8483735571878279,Grand Theft Auto: Liberty City Stories,2006.0,Action,1.0,1.0,0.75
282,0.8478488982161595,The Getaway,2002.0,Action,1.0,1.0,0.75
283,0.8473242392444911,Tomb Raider III: Adventures of Lara Croft,1997.0,Adventure,0.85,0.9,0.8
284,0.8467995802728226,Super Paper Mario,2007.0,Platform,0.3,0.2,0.3
285,0.8462749213011542,James Bond 007: Agent Under Fire,2001.0,Shooter,0.6,0.4,0.9
286,0.8457502623294859,LEGO Star Wars: The Video Game,2005.0,Action,1.0,1.0,0.75
287,0.8452256033578175,FIFA Soccer 10,2009.0,Sports,0.9,0.8,0.4
288,0.8447009443861491,Rugrats in Paris: The Movie,2000.0,Action,1.0,1.0,0.75
289,0.8441762854144806,Spyro 2: Ripto's Rage!,1999.0,Platform,0.3,0.2,0.3
